"seqnames","start","end","width","strand","gene_id","gene_type","gene_name","full_name","ENTREZID","logFC","AveExpr","P.Value","adj.P.val"
"chr11",62761565,62766710,5146,"+","ENSG00000168002.12","protein_coding","POLR2G","RNA polymerase II subunit G","5436",-1.72580775335015,5.03340258055959,4.54808120404843e-06,2.19588205362429e-05
"chr6",158636474,158644743,8270,"-","ENSG00000146425.11","protein_coding","DYNLT1","dynein light chain Tctex-type 1","6993",1.36909918608662,5.97262436366654,4.03937660585608e-06,2.001754199371e-05
"chr1",156594487,156601496,7010,"-","ENSG00000160818.16","protein_coding","GPATCH4","G-patch domain containing 4 (gene/pseudogene)","54865",1.6992077207766,4.02905433974281,5.11230491055073e-06,2.39709551220998e-05
"chr8",76980258,77001044,20787,"-","ENSG00000164751.15","protein_coding","PEX2","peroxisomal biogenesis factor 2","5828",-1.30062434727072,3.99343349388729,5.08207877497704e-06,2.3884098505953e-05
"chr19",29205320,29213151,7832,"-","ENSG00000169021.6","protein_coding","UQCRFS1","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1","7386",1.02396570973485,6.55783166986661,3.96402719351869e-06,1.96988022656701e-05
"chr12",47661249,47706030,44782,"-","ENSG00000005175.10","protein_coding","RPAP3","RNA polymerase II associated protein 3","79657",-1.57910221321001,3.70902953269018,5.05736395696625e-06,2.38071034112609e-05
"chr11",59806140,59810778,4639,"-","ENSG00000166902.5","protein_coding","MRPL16","mitochondrial ribosomal protein L16","54948",-1.85490904851158,3.33732056821215,5.76515068892095e-06,2.64787188399736e-05
"chr3",101940859,101997926,57068,"+","ENSG00000214407.3","lncRNA","LINC02085","RIG-I dependent antiviral response regulator RNA","152225",8.10469534071582,-3.24789258386702,3.97609089599399e-06,1.97499269051766e-05
"chr15",52056675,52100523,43849,"-","ENSG00000259712.1","lncRNA","AC023906.5",NA,NA,3.59422488494813,0.0810521874429585,7.43840052018551e-06,3.24694250632112e-05
"chr5",159448556,159466291,17736,"-","ENSG00000253298.2","lncRNA","LINC01845","long intergenic non-protein coding RNA 1845","285627",8.17745511805395,-3.33520982408871,4.01638893070344e-06,1.993127775372e-05
"chr6",149724315,149749665,25351,"-","ENSG00000120253.14","protein_coding","NUP43","nucleoporin 43","348995",-3.16777181898877,1.97596432093227,6.99478631697358e-06,3.08422538050153e-05
"chr14",77274956,77320884,45929,"-","ENSG00000009830.11","protein_coding","POMT2","protein O-mannosyltransferase 2","29954",-2.03161384204526,2.20953750637426,6.58125312215997e-06,2.93189187769152e-05
"chr5",120464300,120687332,223033,"+","ENSG00000184838.15","protein_coding","PRR16","proline rich 16","51334",2.86474942481916,1.62858945721531,6.75410755570661e-06,2.99222185296747e-05
"chr1",203626561,203744081,117521,"+","ENSG00000058668.14","protein_coding","ATP2B4","ATPase plasma membrane Ca2+ transporting 4","493",-3.19394320076897,2.09635472607551,6.78127253271506e-06,3.00043483043977e-05
"chr17",39252663,39402523,149861,"-","ENSG00000108306.13","protein_coding","FBXL20","F-box and leucine rich repeat protein 20","84961",-2.23144076014807,3.86170038773974,5.25621262975718e-06,2.45249868848272e-05
"chr19",6372794,6375250,2457,"+","ENSG00000125652.8","protein_coding","ALKBH7","alkB homolog 7","84266",-2.10717758872338,1.53321681485272,7.1510615823828e-06,3.13877778271899e-05
"chr15",74919791,74938083,18293,"-","ENSG00000178741.12","protein_coding","COX5A","cytochrome c oxidase subunit 5A","9377",-1.16714548739231,5.48431788965122,4.40368588141502e-06,2.14070977161539e-05
"chr17",49202791,49210574,7784,"-","ENSG00000167083.7","protein_coding","GNGT2","G protein subunit gamma transducin 2","2793",-5.22114760986025,-1.40244738987593,4.60536537186267e-06,2.21366586682397e-05
"chr2",202912214,202988263,76050,"+","ENSG00000138380.18","protein_coding","CARF","calcium responsive transcription factor","79800",-4.7596160905616,-0.859204635178686,5.90793264436048e-06,2.7001482306455e-05
"chr11",65261928,65326543,64616,"+","ENSG00000285816.1","protein_coding","AP000944.5","DNA polymerase alpha 2, accessory subunit","23649",5.24773075276522,-0.205339744650448,7.14390319645161e-06,3.13877778271899e-05
"chr12",49791146,49828750,37605,"-","ENSG00000167566.17","protein_coding","NCKAP5L","NCK associated protein 5 like","57701",-1.87552514503332,4.26305282464322,5.07911443942647e-06,2.38780217163823e-05
"chr19",4639516,4655568,16053,"+","ENSG00000185361.9","protein_coding","TNFAIP8L1","TNF alpha induced protein 8 like 1","126282",-3.46018463256013,3.7789650437155,6.0980558434193e-06,2.76932370740405e-05
"chr10",132332154,132381508,49355,"+","ENSG00000148814.18","protein_coding","LRRC27","leucine rich repeat containing 27","80313",-6.23845334918131,-0.645911609902333,5.09156396375642e-06,2.39129435733688e-05
"chr13",19674752,19783019,108268,"-","ENSG00000121390.19","protein_coding","PSPC1","paraspeckle component 1","55269",1.04428164642041,5.62131845254435,4.27920477001281e-06,2.09158393941748e-05
"chr22",46684410,46738252,53843,"-","ENSG00000100422.14","protein_coding","CERK","ceramide kinase","64781",-2.22142488394969,5.72325142572984,4.54945816387477e-06,2.19588205362429e-05
"chr12",49127782,49131397,3616,"-","ENSG00000123416.15","protein_coding","TUBA1B","tubulin alpha 1b","10376",-1.22308254679708,6.35485069695603,4.18719239186731e-06,2.05575318565664e-05
"chr22",49933198,49934074,877,"-","ENSG00000278869.1","lncRNA","BX539320.1",NA,NA,3.84093524081205,-0.835666838123162,7.14267574448126e-06,3.13877778271899e-05
"chrM",10760,12137,1378,"+","ENSG00000198886.2","protein_coding","MT-ND4","NADH dehydrogenase subunit 4","4538",1.22832207394326,10.2479160099667,4.26139665703558e-06,2.084305855497e-05
"chr8",141124717,141130064,5348,"-","ENSG00000253210.2","lncRNA","AC040970.1","DENND3 antisense RNA 1","101927963",2.83449555974853,0.588835945841555,7.71137327790497e-06,3.3395692640627e-05
"chr14",76761468,76783015,21548,"+","ENSG00000071246.11","protein_coding","VASH1","vasohibin 1","22846",-4.97031298885702,3.03421617431244,6.92495751895286e-06,3.05832667923584e-05
"chr4",112637107,112657592,20486,"+","ENSG00000174720.16","protein_coding","LARP7","La ribonucleoprotein 7, transcriptional regulator","51574",1.00118082074685,4.41896000039811,4.85850527907095e-06,2.30839590695333e-05
"chr11",122882683,122963862,81180,"+","ENSG00000109944.11","protein_coding","JHY","junctional cadherin complex regulator","79864",-4.78497885090278,-0.264433295757019,6.39664558814409e-06,2.8765777626004e-05
"chr10",99621055,99621918,864,"+","ENSG00000260475.1","lncRNA","AL353719.1",NA,NA,3.4379680157369,-1.45863921917506,6.76316422687368e-06,2.99427726400199e-05
"chr2",171783405,171999859,216455,"-","ENSG00000115840.14","protein_coding","SLC25A12","solute carrier family 25 member 12","8604",2.02575497290153,2.36491258382521,6.49571397536106e-06,2.91013689451187e-05
"chr17",76225751,76226806,1056,"-","ENSG00000228218.1","processed_pseudogene","ATF4P3",NA,NA,2.42719579857973,0.0296401186578474,7.81356045686696e-06,3.37972565084039e-05
"chr19",27793431,27984984,191554,"+","ENSG00000267575.7","lncRNA","AC006504.5","long intergenic non-protein coding RNA 2987","101927151",-1.95520474727319,2.51529395776899,6.70195545732456e-06,2.97825311411496e-05
"chr4",105369077,105474067,104991,"-","ENSG00000138777.20","protein_coding","PPA2","inorganic pyrophosphatase 2","27068",-1.41764856219024,3.66503253095298,5.63213722540717e-06,2.59652612260059e-05
"chr8",24295814,24912073,616260,"-","ENSG00000253535.5","lncRNA","AC120193.1",NA,NA,2.3169299527048,2.8944961622495,6.34155939056556e-06,2.85630072550473e-05
"chr5",136132845,136188747,55903,"+","ENSG00000113658.18","protein_coding","SMAD5","SMAD family member 5","4090",-1.57532493820521,4.32385219461052,5.29919599615701e-06,2.4693285452412e-05
"chr8",65714334,65842322,127989,"-","ENSG00000205268.11","protein_coding","PDE7A","phosphodiesterase 7A","5150",1.77012253388837,6.2970982623041,4.3100808419882e-06,2.10307803925838e-05
"chr11",65386621,65413525,26905,"+","ENSG00000126391.14","protein_coding","FRMD8","FERM domain containing 8","83786",1.19678429276807,6.99518517763283,4.18211785062696e-06,2.05396760852208e-05
"chr9",113386312,113401290,14979,"-","ENSG00000148218.16","protein_coding","ALAD","aminolevulinate dehydratase","210",-2.71859858177281,1.45108596208467,7.53190217916147e-06,3.27974051916123e-05
"chr8",118923557,118951885,28329,"-","ENSG00000164761.9","protein_coding","TNFRSF11B","TNF receptor superfamily member 11b","4982",9.27372528380248,-2.99786865488024,4.44750282913627e-06,2.15687280787067e-05
"chr5",39371675,39462300,90626,"-","ENSG00000153071.15","protein_coding","DAB2","DAB adaptor protein 2","1601",-1.98493854968153,5.86847474305483,4.60332738309483e-06,2.21365662478209e-05
"chr22",38705742,38738299,32558,"+","ENSG00000100226.16","protein_coding","GTPBP1","GTP binding protein 1","9567",1.61267977202955,5.83352069925985,4.41693567942239e-06,2.14423241766591e-05
"chr2",113022089,113052867,30779,"-","ENSG00000136696.11","protein_coding","IL36B","interleukin 36 beta","27177",6.41648705245027,-3.87775001396459,4.07282812071585e-06,2.01398551558167e-05
"chr16",89088375,89164121,75747,"+","ENSG00000176715.17","protein_coding","ACSF3","acyl-CoA synthetase family member 3","197322",-1.39909496035875,3.50797208594714,5.89225161339967e-06,2.69470546737007e-05
"chr4",185159665,185209504,49840,"-","ENSG00000164323.14","protein_coding","CFAP97","cilia and flagella associated protein 97","57587",-1.96622608870718,2.64685093193121,6.81833993225678e-06,3.01496820217123e-05
"chrX",103576231,103587736,11506,"+","ENSG00000133142.17","protein_coding","TCEAL4","transcription elongation factor A like 4","79921",-1.59479185090877,2.8559396702761,6.5169165804649e-06,2.91506534706018e-05
"chr16",72044289,72094431,50143,"-","ENSG00000140830.9","protein_coding","TXNL4B","thioredoxin like 4B","54957",1.10975322356229,4.39434135810022,5.18684264704999e-06,2.42329695547427e-05
"chr2",27370496,27377535,7040,"+","ENSG00000115234.11","protein_coding","SNX17","sorting nexin 17","9784",-1.47386781084802,6.33465150440784,4.38844247340124e-06,2.13620707384952e-05
"chr7",44884953,44886393,1441,"+","ENSG00000272768.1","lncRNA","AC004854.2",NA,NA,2.39976370211656,-0.310343140248577,8.04336494613684e-06,3.46456081040688e-05
"chr17",30248203,30292056,43854,"-","ENSG00000108578.15","protein_coding","BLMH","bleomycin hydrolase","642",-1.08440420898904,4.63494289167628,5.16728705141998e-06,2.41574051386248e-05
"chr10",90871716,90908553,36838,"+","ENSG00000148688.13","protein_coding","RPP30","ribonuclease P/MRP subunit p30","10556",-2.11651614084667,3.11577190140124,6.47080861232604e-06,2.90170880867238e-05
"chr1",23359448,23369836,10389,"-","ENSG00000125945.15","protein_coding","ZNF436","zinc finger protein 436","80818",-2.18998682943376,3.23705547938389,6.46296614414545e-06,2.90092357214596e-05
"chr14",67581955,67600286,18332,"-","ENSG00000100564.9","protein_coding","PIGH","phosphatidylinositol glycan anchor biosynthesis class H","5283",-2.08972404937805,3.07969774354486,6.54655477032716e-06,2.92394778399963e-05
"chr20",43489442,43550950,61509,"+","ENSG00000185513.16","protein_coding","L3MBTL1","L3MBTL histone methyl-lysine binding protein 1","26013",-2.40904257741324,0.53455896956347,8.14338227565003e-06,3.5001354564444e-05
"chr17",28394642,28407197,12556,"-","ENSG00000076351.13","protein_coding","SLC46A1","solute carrier family 46 member 1","113235",-7.564209754413,-2.66897315249609,3.24256566471813e-06,1.67425137881561e-05
"chr1",31617686,31632518,14833,"+","ENSG00000121764.11","protein_coding","HCRTR1","hypocretin receptor 1","3061",3.31491257712417,-2.65228245215885,7.12862770090068e-06,3.13573199461221e-05
"chr2",96705929,96740064,34136,"-","ENSG00000114988.11","protein_coding","LMAN2L","lectin, mannose binding 2 like","81562",-2.7282089029901,3.17055115315666,6.75642730991325e-06,2.99222185296747e-05
"chr2",222498291,222498398,108,"+","ENSG00000202016.1","snRNA","RNU6-619P","RNA, U6 small nuclear 619, pseudogene","106479840",6.18620417717192,-2.0575130537056,4.41364614118351e-06,2.14423241766591e-05
"chr19",39538707,39540161,1455,"-","ENSG00000176396.11","protein_coding","EID2","EP300 interacting inhibitor of differentiation 2","163126",-1.41341214373661,3.18836828207061,6.33839976432023e-06,2.85577790705907e-05
"chr10",49818279,49970203,151925,"-","ENSG00000227345.8","protein_coding","PARG","poly(ADP-ribose) glycohydrolase","8505",-1.81616631035351,3.05389801376742,6.46509435882573e-06,2.90096743418791e-05
"chr2",113005459,113008044,2586,"+","ENSG00000136694.9","protein_coding","IL36A","interleukin 36 alpha","27179",6.92266751409949,-3.7216507516335,4.34873482391201e-06,2.11904414833666e-05
"chr7",155356985,155367934,10950,"-","ENSG00000204960.6","lncRNA","BLACE","B cell acute lymphoblastic leukemia expressed","338436",9.04134014134394,-0.321318388122794,7.28558525690346e-06,3.18705317101591e-05
"chr12",7470813,7503893,33081,"-","ENSG00000177575.12","protein_coding","CD163","CD163 molecule","9332",-2.97488543118655,8.2824962983656,4.44157030073305e-06,2.1547271608344e-05
"chr6",157885114,157892786,7673,"-","ENSG00000236324.1","lncRNA","AL035634.1",NA,NA,6.06801382222533,-2.03028943704943,5.51937021344555e-06,2.55608564795775e-05
"chr18",13663347,13726663,63317,"-","ENSG00000177150.13","protein_coding","FAM210A","family with sequence similarity 210 member A","125228",1.13880218309089,3.68538526082188,5.98725605455592e-06,2.73203217027916e-05
"chr2",233354507,233472104,117598,"+","ENSG00000077044.10","protein_coding","DGKD","diacylglycerol kinase delta","8527",-1.37714407083636,5.1025752339275,5.02348236803224e-06,2.36944511693881e-05
"chr9",105554035,105558304,4270,"-","ENSG00000228317.2","lncRNA","AL158070.1","FKTN antisense RNA 1","105376199",4.42469704514678,-2.72860705203116,4.71441412869704e-06,2.25191690594098e-05
"chr9",35749287,35758585,9299,"+","ENSG00000107185.10","protein_coding","RGP1","RGP1 homolog, RAB6A GEF complex partner 1","9827",-1.73121452272708,3.11436707493615,6.56872755642684e-06,2.92902677373234e-05
"chr1",209661364,209724125,62762,"-","ENSG00000227591.5","lncRNA","HSD11B1-AS1","HSD11B1 antisense RNA 1","101930114",5.29623674118356,-3.0728726404068,4.09774002977399e-06,2.02156118112504e-05
"chr8",23020133,23069031,48899,"-","ENSG00000120889.13","protein_coding","TNFRSF10B","TNF receptor superfamily member 10b","8795",1.95370164749846,8.09096184004434,4.49345552220286e-06,2.17326235534023e-05
"chr9",21994139,22128103,133965,"+","ENSG00000240498.9","lncRNA","CDKN2B-AS1","CDKN2B antisense RNA 1","100048912",3.12096853939474,-0.205606075640258,8.51598723329968e-06,3.63839442590169e-05
"chr7",897900,955407,57508,"-","ENSG00000105963.15","protein_coding","ADAP1","ArfGAP with dual PH domains 1","11033",1.17140998247393,5.40952590065344,4.77094826793475e-06,2.2751180875829e-05
"chr11",104994235,105023168,28934,"-","ENSG00000137757.11","protein_coding","CASP5","caspase 5","838",3.4292429664155,3.85952024055881,6.03626746137859e-06,2.74912825058068e-05
"chr3",50674927,51384198,709272,"+","ENSG00000088538.13","protein_coding","DOCK3","dedicator of cytokinesis 3","1795",2.92860410678249,0.201214471357922,8.50421263981316e-06,3.63445067259978e-05
"chr2",206159585,206162928,3344,"+","ENSG00000114942.14","protein_coding","EEF1B2","eukaryotic translation elongation factor 1 beta 2","1933",1.08054576762123,5.4665472872752,4.87941104523658e-06,2.31601812635531e-05
"chr1",154582057,154628013,45957,"-","ENSG00000160710.17","protein_coding","ADAR","adenosine deaminase RNA specific","103",2.19322119724884,8.87747426645489,4.60967963243107e-06,2.21373085406866e-05
"chr2",231388976,231394991,6016,"+","ENSG00000224376.1","lncRNA","AC017104.1",NA,NA,5.85926079513212,-3.3957849624877,5.3236820853873e-06,2.47912144569519e-05
"chr12",26211164,26335856,124693,"-","ENSG00000256234.1","lncRNA","AC022509.2",NA,NA,9.56914682056158,-2.7358086714095,4.97228227930661e-06,2.35153585599835e-05
"chr12",109999186,110039763,40578,"+","ENSG00000076513.17","protein_coding","ANKRD13A","ankyrin repeat domain 13A","88455",-1.46309978470132,5.58068830723402,4.97700773608532e-06,2.35296193002816e-05
"chrX",48574449,48581162,6714,"+","ENSG00000102317.18","protein_coding","RBM3","RNA binding motif protein 3","5935",1.13829741452836,7.70493128892472,4.56725501404615e-06,2.20149704405119e-05
"chr21",33402896,33479348,76453,"+","ENSG00000159128.14","protein_coding","IFNGR2","interferon gamma receptor 2","3460",1.51058974854108,8.72220539127879,4.60644545535639e-06,2.21366586682397e-05
"chr19",52269587,52296046,26460,"+","ENSG00000196214.11","protein_coding","ZNF766","zinc finger protein 766","90321",-1.23719834075503,3.78605343147521,6.10358561832341e-06,2.77095416997098e-05
"chr11",65572349,65574198,1850,"+","ENSG00000176973.8","protein_coding","FAM89B","family with sequence similarity 89 member B","23625",-2.24885189660032,1.29580908694253,8.43444281330171e-06,3.61170117791555e-05
"chr3",134065303,134250744,185442,"-","ENSG00000163785.12","protein_coding","RYK","receptor like tyrosine kinase","6259",-1.36351440722191,4.09324047768555,6.01387617335657e-06,2.74242735042277e-05
"chr2",241734602,241768816,34215,"+","ENSG00000180902.18","protein_coding","D2HGDH","D-2-hydroxyglutarate dehydrogenase","728294",2.41024858929801,2.53628926574431,6.63841241272654e-06,2.95185179398145e-05
"chrX",41076999,41077750,752,"+","ENSG00000237931.1","processed_pseudogene","CLIC4P3",NA,NA,3.17055543503526,-1.10025140211254,7.99377212973569e-06,3.44723882938526e-05
"chr6",33291654,33298942,7289,"-","ENSG00000237441.10","protein_coding","RGL2","ral guanine nucleotide dissociation stimulator like 2","5863",-1.24628421425677,5.37346314818243,5.05434764734881e-06,2.38007464857193e-05
"chr17",28905250,28951771,46522,"-","ENSG00000109118.14","protein_coding","PHF12","PHD finger protein 12","57649",-1.40411107517273,4.03669082393789,5.85464741021017e-06,2.67836527536576e-05
"chr20",49237946,49278426,40481,"-","ENSG00000124201.15","protein_coding","ZNFX1","zinc finger NFX1-type containing 1","57169",1.81109387266223,8.16306457521556,4.68088590799968e-06,2.24114668121955e-05
"chr6",26596953,26600739,3787,"+","ENSG00000146109.5","protein_coding","ABT1","activator of basal transcription 1","29777",1.0962972571484,5.44443789740487,4.9869478656511e-06,2.35610198930414e-05
"chr5",132556019,132646349,90331,"+","ENSG00000113522.14","protein_coding","RAD50","RAD50 double strand break repair protein","10111",-2.1115235478203,0.211285174563832,8.8712700076828e-06,3.76206098544863e-05
"chr8",22089150,22104911,15762,"+","ENSG00000158863.22","protein_coding","FAM160B2","FHF complex subunit HOOK interacting protein 2B","64760",-1.53181839889787,3.64692274030109,6.35033215163435e-06,2.85844976214241e-05
"chr13",100603927,100675093,71167,"-","ENSG00000125247.15","protein_coding","TMTC4","transmembrane O-mannosyltransferase targeting cadherins 4","84899",-4.526944252522,0.882972854462906,8.90474192160924e-06,3.77289584323936e-05
"chr9",83938311,83956986,18676,"-","ENSG00000165118.15","protein_coding","C9orf64","chromosome 9 open reading frame 64","84267",-1.51966005684384,3.55675433331431,6.43005755153046e-06,2.88887522763257e-05
"chr12",6493356,6531955,38600,"+","ENSG00000010292.13","protein_coding","NCAPD2","non-SMC condensin I complex subunit D2","9918",-2.11884174028054,3.60162300165183,6.50600241963268e-06,2.91200678475226e-05
"chr11",61348754,61362283,13530,"-","ENSG00000162144.10","protein_coding","CYB561A3","cytochrome b561 family member A3","220002",1.54164784398656,7.12917926784096,4.71166419845463e-06,2.25135606700071e-05
"chr12",118376555,118418033,41479,"+","ENSG00000111707.12","protein_coding","SUDS3","SDS3 homolog, SIN3A corepressor complex component","64426",-1.45125944002829,4.83431437784798,5.57969648233005e-06,2.57733991733105e-05
"chr1",222010825,222064773,53949,"-","ENSG00000232679.2","lncRNA","LINC01705",NA,NA,5.97264353623305,-2.05071743879374,6.06213036728614e-06,2.75739116706199e-05
"chr1",149636766,149636929,164,"+","ENSG00000206828.1","snRNA","RNVU1-30","U1 spliceosomal RNA","124904627",5.43531405717617,-2.2178557998312,6.72708885159233e-06,2.98478007523912e-05
"chr5",177511577,177516961,5385,"-","ENSG00000183258.12","protein_coding","DDX41","DEAD-box helicase 41","51428",-1.29151775608591,4.85356773336352,5.55298332832683e-06,2.5666603950762e-05
"chr17",58556678,58692055,135378,"-","ENSG00000121101.15","protein_coding","TEX14","testis expressed 14, intercellular bridge forming factor","56155",7.0688639577865,-2.17703295544366,5.80611052834017e-06,2.66383754394336e-05
"chr10",100912963,100965134,52172,"+","ENSG00000119906.13","protein_coding","SLF2","SMC5-SMC6 complex localization factor 2","55719",-1.38788250622386,4.41779394123482,5.72938791919299e-06,2.63371187907047e-05
"chr1",231528541,231566524,37984,"+","ENSG00000116918.15","protein_coding","TSNAX","translin associated factor X","7257",-1.691596121094,3.2501753733362,6.77404918534649e-06,2.99816730827278e-05
"chr12",12813316,12829981,16666,"+","ENSG00000213782.7","protein_coding","DDX47","DEAD-box helicase 47","51202",1.39155192314425,1.8362045916392,7.82059210811928e-06,3.38174332471853e-05
"chr22",29505879,29555216,49338,"-","ENSG00000100296.13","protein_coding","THOC5","THO complex subunit 5","8563",-1.27692164748963,3.92857056830195,6.3272273214453e-06,2.85254328625715e-05
"chr8",143636013,143656418,20406,"+","ENSG00000183309.11","protein_coding","ZNF623","zinc finger protein 623","9831",-1.95711576623317,2.59523435783238,7.54806738553382e-06,3.28477729933359e-05
"chr17",1420689,1463162,42474,"-","ENSG00000167193.8","protein_coding","CRK","CRK proto-oncogene, adaptor protein","1398",1.09622414751014,7.52425863586168,4.75247775883669e-06,2.26782397262858e-05
"chr22",38056311,38075701,19391,"+","ENSG00000100151.16","protein_coding","PICK1","protein interacting with PRKCA 1","9463",-1.84001538702204,1.96104796217653,8.01282642158957e-06,3.45337107346154e-05
"chr2",27212027,27217178,5152,"+","ENSG00000138085.17","protein_coding","ATRAID","all-trans retinoic acid induced differentiation factor","51374",-1.72928388199612,4.4232172726245,5.89480043565618e-06,2.69500844237504e-05
"chr10",86965345,86971311,5967,"-","ENSG00000272734.1","lncRNA","ADIRF-AS1",NA,NA,2.26620430310126,1.23358976667099,8.09671873433668e-06,3.48112610765779e-05
"chrM",1671,3229,1559,"+","ENSG00000210082.2","Mt_rRNA","MT-RNR2",NA,NA,1.36475998054257,13.1394358668374,5.29465873254884e-06,2.46801922714275e-05
"chr5",54808210,54872551,64342,"-","ENSG00000232517.2","unitary_pseudogene","AC112198.2","chondroitin sulfate proteoglycan family member 4B, pseudogene","727930",5.51467205682218,-3.8693622710625,4.41588724602519e-06,2.14423241766591e-05
"chr16",29995715,30005793,10079,"+","ENSG00000169592.15","protein_coding","INO80E","INO80 complex subunit E","283899",-2.66021583753774,-0.395161283449396,8.87482466863742e-06,3.76245163325884e-05
"chr16",67657512,67660815,3304,"-","ENSG00000102977.17","protein_coding","ACD","ACD shelterin complex subunit and telomerase recruitment factor","65057",-1.47217385194218,2.84791234005233,7.45320573063646e-06,3.25141832896498e-05
"chr19",51927147,51948759,21613,"+","ENSG00000176024.18","protein_coding","ZNF613","zinc finger protein 613","79898",-3.36627177540306,1.98084575524033,8.67578287628932e-06,3.69451296433817e-05
"chr15",66293217,66333898,40682,"+","ENSG00000166938.13","protein_coding","DIS3L","DIS3 like exosome 3'-5' exoribonuclease","115752",-3.21765301746937,2.04265113322471,8.28725096171975e-06,3.55569491381862e-05
"chr7",130938963,131110176,171214,"-","ENSG00000231721.7","lncRNA","LINC-PINT","long intergenic non-protein coding RNA, p53 induced transcript","378805",1.60736565627983,4.59641069486079,5.523598079428e-06,2.55721470384925e-05
"chr22",32387582,32412248,24667,"-","ENSG00000100220.12","protein_coding","RTCB","RNA 2',3'-cyclic phosphate and 5'-OH ligase","51493",1.30516900472728,6.77786626966396,4.8716223387226e-06,2.31385865536336e-05
"chr14",64986895,65062652,75758,"+","ENSG00000257365.8","protein_coding","FNTB","farnesyltransferase, CAAX box, beta","2342",-5.20680123255678,-1.44193050751759,5.32862548738001e-06,2.47928462319331e-05
"chr16",4354542,4425705,71164,"-","ENSG00000262246.6","protein_coding","CORO7","coronin 7","79585",-1.12671526555911,3.76337482595859,6.54045077738954e-06,2.92376158499889e-05
"chr12",80792520,80937925,145406,"-","ENSG00000111052.7","protein_coding","LIN7A","lin-7 homolog A, crumbs cell polarity complex component","8825",-1.7766579222481,2.49288715473369,7.74641365809393e-06,3.35372763433903e-05
"chr1",32816767,32858875,42109,"+","ENSG00000116497.18","protein_coding","S100PBP","S100P binding protein","64766",-2.07851774500812,2.87769581299725,7.51205616816318e-06,3.27509143956507e-05
"chr17",35568076,35574900,6825,"+","ENSG00000267321.3","lncRNA","SNHG30",NA,NA,-2.80142531774265,0.0999405419939673,9.41996738212369e-06,3.94556065635887e-05
"chr3",149738472,149752495,14024,"-","ENSG00000114744.9","protein_coding","COMMD2","COMM domain containing 2","51122",-1.29101876069652,4.30322161731892,6.26735400848215e-06,2.83306026339272e-05
"chr1",212992182,213015867,23686,"-","ENSG00000174606.14","protein_coding","ANGEL2","angel homolog 2","90806",-1.37171400213284,3.88355876765999,6.50079678301218e-06,2.91150105451082e-05
"chr20",18138118,18188387,50270,"+","ENSG00000149474.13","protein_coding","KAT14","lysine acetyltransferase 14","57325",-4.18031323720485,0.461733455506251,9.40063231115725e-06,3.9420849377606e-05
"chr1",155063737,155069553,5817,"+","ENSG00000243364.8","protein_coding","EFNA4","ephrin A4","1945",-6.08207517911961,-0.334217936515619,7.21000846794629e-06,3.16173698531457e-05
"chr3",101561868,101566446,4579,"+","ENSG00000174173.7","protein_coding","TRMT10C","tRNA methyltransferase 10C, mitochondrial RNase P subunit","54931",1.26611897793983,4.99854315162827,5.60226779050532e-06,2.58564320247112e-05
"chr3",52681156,52694497,13342,"+","ENSG00000163938.17","protein_coding","GNL3","G protein nucleolar 3","26354",1.34614545380807,6.17600228102401,5.15801702555399e-06,2.4129858953533e-05
"chr6",157924402,157924676,275,"+","ENSG00000220867.1","processed_pseudogene","HSPE1P26","heat shock protein family E (Hsp10) member 1 pseudogene 26","106481677",5.03804655626278,-2.22221509716113,6.53210404834889e-06,2.92094430481254e-05
"chr7",100400826,100428992,28167,"-","ENSG00000078487.17","protein_coding","ZCWPW1","zinc finger CW-type and PWWP domain containing 1","55063",1.29991810633398,2.12760899920627,7.6606958355754e-06,3.32366721539222e-05
"chr2",100562993,100576739,13747,"+","ENSG00000115539.14","protein_coding","PDCL3","phosducin like 3","79031",-1.93927444898921,2.55319650798019,8.09333208558154e-06,3.48071750471714e-05
"chrX",153841251,153841565,315,"+","ENSG00000184844.6","processed_pseudogene","CYCSP45",NA,NA,2.79516719830264,-0.913419289405542,9.0613314032044e-06,3.82789005788236e-05
"chrX",135344796,135363413,18618,"+","ENSG00000173275.13","protein_coding","ZNF449","zinc finger protein 449","203523",-2.07155202155903,2.87727140366594,7.65814872200034e-06,3.32366721539222e-05
"chr1",89052319,89065230,12912,"-","ENSG00000117228.10","protein_coding","GBP1","guanylate binding protein 1","2633",6.60685260070061,5.39406323320367,7.14701784771861e-06,3.13877778271899e-05
"chr17",78870910,78903217,32308,"-","ENSG00000178404.10","protein_coding","CEP295NL","CEP295 N-terminal like","100653515",-5.91628135041554,-2.09108750897345,4.63054147526983e-06,2.22150926988516e-05
"chr21",25385388,25431701,46314,"-","ENSG00000185433.10","lncRNA","LINC00158","long intergenic non-protein coding RNA 158","54072",6.60827485470125,-2.81878083176202,5.34675870506903e-06,2.48662570375394e-05
"chr16",70480568,70523560,42993,"-","ENSG00000103051.20","protein_coding","COG4","component of oligomeric golgi complex 4","25839",-1.27759902889142,4.25915444084719,6.29668363840949e-06,2.84236079437461e-05
"chr1",65154480,65154650,171,"+","ENSG00000231622.1","processed_pseudogene","RPS29P7",NA,NA,4.855047782073,-1.56636305069029,6.49262302392268e-06,2.90966452769082e-05
